input_1	Gold	Pred	Gold_Label	Predicted_Label
i hope she loves learning her whole life.	35	34	consoling	encouraging
My brother recently proposed to his girlfriend. They are already talking about when they want to have the wedding, and making a few plans for what they want it to be like.	26	3	proud	anticipating
congratulations.	39	39	Wishing	Wishing
I always make sure I have everything we need when we go on vacation. I packed medication, sunscreen, extra food and water. Good think I did because we broke down and couldn't get help for several hours.	25	25	prepared	prepared
i know that feeling though.	32	32	agreeing	agreeing
i hope when i get married it turns out just as good.	34	34	encouraging	encouraging
My mother knew I had been really stressed and busy. She brought over a whole week of meals to help.	17	17	grateful	grateful
I studied for 3 months straight in order to pass my bar exam and become a lawyer.	25	25	prepared	prepared
he was only 32	40	40	neutral	neutral
I interviewed for a job and thought the interview went decent.  I just had to wait to hear back from them.	19	19	hopeful	hopeful
thats cool	33	33	acknowledging	acknowledging
We are suppose to be having a bad storm this weekend. I have been stocking up on food and supplies. I feel ready for the worst.	25	25	prepared	prepared
I joined a organization 6 months ago as a sales representative. But, with my hard work and talent that god has gifted me I went on for a position of Junior Manager were I manage 5 supervisor in just 6 months. Being Junior manager in just 6 months is being grateful to me.	17	15	grateful	faithful
I feel so bad when I think back to times that I yelled at my kids for no real good reason.	18	6	guilty	ashamed
of course, but that is certainly not the most important thing in life, i hope you realize now.	34	40	encouraging	neutral
I came home the other day and my roommate had a friend over. I've only seen him with a friend over once in my 3.5 years of living here.	29	23	surprised	lonely
My friend lives in a big house	21	21	jealous	jealous
I had to replace my toilet the other day.  It wasn't pleasant.	12	12	disgusted	disgusted
I stole from my friends when I was young. I feel terrible	6	18	ashamed	guilty
I plan for weeks every time we go on vacation and make sure we have everything we need. I didn't do very well when we went on our honeymoon though. I guess I was so excited about the wedding that I forget just about everything.	25	25	prepared	prepared
i know exactly how you feel.	32	32	agreeing	agreeing
All my friends live in a different country	23	23	lonely	lonely
I was really scared when I got off a plane in Los Angeles and no one was in the terminal at 4 in the morning.	0	0	afraid	afraid
My neighbors dogs keep barking, and my daughter is asleep. I'm afraid they are going to wake her up!	1	30	angry	terrified
I was so awestruck to see Hamilton. It was such an awesome show	20	20	impressed	impressed
Donald Trump was elected to the presidency. This makes me lose faith in humanity, to be quite honest.	12	12	disgusted	disgusted
My mother became ill and she had to be hospitalized. I was very concerned, but she was much better after a few days there.	17	7	grateful	caring
Brother probably getting a better car than me	21	21	jealous	jealous
I was doing some freelance work for a friend and it didn't work out the way I had wanted to - the results we got were less than stellar.  I worked as hard as I could but it wasn't enough.	11	11	disappointed	disappointed
I think I can get much better grades at school this semester!	19	8	hopeful	confident
I really felt happy when i went to see my family the other day. They always warm my heart	22	22	joyful	joyful
or maybe a good thing if he wasn't good for you.	37	37	suggesting	suggesting
I was laying in bed getting ready to fall asleep when I realized just how happy I was. I felt so peacful	9	22	content	joyful
ne fl, i know how you feel, only i couldn't get gas for my car because there was no gas anywhere!	32	32	agreeing	agreeing
I fainted on the bus. All of the passages looked at me with disdain.	13	13	embarrassed	embarrassed
I bought iced coffee and my brother drank it. I was looking forward to drinking it in the morning.	2	18	annoyed	guilty
I had my t-shirt fly up in the wind and accidently flashed some people	13	13	embarrassed	embarrassed
I gratuated from college with the highest score in the past 20 years	26	26	proud	proud
My boss scolded me for something I didn't do.	1	1	angry	angry
They arrested 9 people at a nearby farm for animal cruelty and they are already out on bond!	16	20	furious	impressed
I spent a Christmas working in a computer lab on a school project.  My family were thousands of miles away celebrating together, but I had to work on my project by myself.  It wasn't at all festive and I felt isolated.	23	23	lonely	lonely
well i hope they get there soon so you don't have to wait longer.	34	35	encouraging	consoling
My neighbor ran into my car! They didn't even leave a note!	1	16	angry	furious
Kids will be kids, but I'm still ashamed when I think of how I treated one girl in sixth grade. I learned then that peer pressure doesn't often support your being your best self.	6	6	ashamed	ashamed
don't be too rough on them.	38	38	questioning	questioning
I was accepted in to University after years of being an alcoholic restaurant industry worker, often working for minimum wage.	22	26	joyful	proud
the color of your eyes, the sweetness of lips, the beauty of hair, is a memory that I will not forget	24	32	nostalgic	agreeing
I fell down at work, and my khaki pants ripped open.	13	13	embarrassed	embarrassed
i am sorry that happened.	36	36	sympathizing	sympathizing
I practiced running so much, I was confident I was going to win the 50 metre sprint at my school.	8	8	confident	confident
I am super joyful when my family comes together to eat dinner	22	22	joyful	joyful
When I got falsely accused of eating my roommate's ice cream last night, I was completely outraged! I don't even eat ice cream because I'm lactose intolerant, and she knows that!	16	1	furious	angry
are you feeling better?	38	38	questioning	questioning
i hope you find yourself a nice and wealthy boyfriend!	33	34	acknowledging	encouraging
I ended up watching all the Robin williams movies I could think of last week end. It was a lot of good memories.	28	24	sentimental	nostalgic
I had a job interview yesterday. I was really nervous before it started.	5	4	apprehensive	anxious
i am really scared of spiders i cant stand them, i think it is my worst fear	0	30	afraid	terrified
I had to go to a wedding far out of the city I live in, and needed someone to watch my dogs.  A friend took over last minute and agreed to watch them for the weekend.	17	31	grateful	trusting
maybe ill look into some classes and give it a shot	37	37	suggesting	suggesting
what kind of pizza is it?	38	38	questioning	questioning
I walk out on belief that I will be lead down the right path. I read the bible and I know the answer will come.	31	15	trusting	faithful
I had to clean beneath a desk which had not been cleaned in about three years, after there had been some flooding from a manufacturing unit. It was so gross!	5	12	apprehensive	disgusted
happy anniversary!	39	39	Wishing	Wishing
i hope she is doing better now.	35	35	consoling	consoling
I had enough money to cover an emergency expense for my family	26	17	proud	grateful
my husband was gone all weekend buying us a new puppy, so i understand feeling lonely!	32	23	agreeing	lonely
that's great!	33	33	acknowledging	acknowledging
While out walking in a Boston suburb, we heard some animal cries. It turned out to be a baby kitten (very young) in a window well, with not identifying information. We took it home and adopted it.	7	7	caring	caring
I had gone on an interview for a job I wanted.  I was waiting to hear back, but it was taking a really long time for them to contact me.	4	5	anxious	apprehensive
Do you know the feeling of drinking hot cocoa on a cold winter's night?	9	38	content	questioning
I decided I wanted a puppy and put out the word I was looking for one. On the way to get my new puppy after getting a call about one I was so thrilled.	14	14	excited	excited
I have a test coming up that I've been studying for non stop.	25	4	prepared	anxious
It's been a hard night tonight, just sitting on the couch by myself watching TV.	23	23	lonely	lonely
Remembering the high school days brings back memories	24	24	nostalgic	nostalgic
My four year old daughter came up to me and said she thought daddy needed a huge and kiss.  She then jumped in my lap and proceeded to pepper my cheeck with kisses.	22	7	joyful	caring
I recently said goodbye to a good friend for a while. I love her!	27	27	sad	sad
Watching my two daughters playing volley ball with their team makes me remember all the games I played in with my friends. I miss playing very much, but I have great memories.	24	24	nostalgic	nostalgic
they must have been really happy.	33	33	acknowledging	acknowledging
im sorry, thats awful.	36	36	sympathizing	sympathizing
I have a really big game coming up this weekend. I haven't played soccer since I was a kid and have been really nervous about joining an adult league.	4	5	anxious	apprehensive
I was watching a kid skateboarding and he pulled of a jump and trick that really rather blew me away, considering his age.	20	20	impressed	impressed
I was trying to take a nap, but my cat kept on trying to play with my head.	2	2	annoyed	annoyed
I am still fuming when I think about the person that keyed my car the other day while I was at the grocery store. I don't understand why someone would do that on purpose. I saw them as I was checking out and I didn't even know them.	1	16	angry	furious
i hope you have a great time.	34	34	encouraging	encouraging
on the way to the airport the other day the car broke down. didn't know if was going to make it to the flight	5	0	apprehensive	afraid
can you make it up to her somehow?	38	38	questioning	questioning
maybe i will try that.	37	37	suggesting	suggesting
when i was going through a divorce, money was tight, my mom stepped in and helped with attorney fees, was so helpful.	17	17	grateful	grateful
damn that sounds like a pretty good one!	33	33	acknowledging	acknowledging
My dog started walking again after an accident last week. So happy to see her getting back on her feet.	7	26	caring	proud
A separation is something that hurts, especially when you love with your heart	27	27	sad	sad
am sorry to hear that, may he rest in peace	36	36	sympathizing	sympathizing
I recently booked our vacation accommodations in Florida, which we are going to in a few weeks. We have a large beachfront condo and I can't wait!	14	14	excited	excited
We were buying a new kind of sausage for the first time and I was really nervous if it was good or not cause it was super cheap!	5	5	apprehensive	apprehensive
I got cut off in traffic the other day. There was noone behind me for a long way but no, they had to go right in front of me. Had to slam my breaks	16	16	furious	furious
apprehensive: travelling to dubai	5	4	apprehensive	anxious
When i play old games i get nostalgic.	24	24	nostalgic	nostalgic
My mom sent my daughter a toy I played with when I was a child. It is neat to see and remember when I was her age.	24	28	nostalgic	sentimental
congratulations!	39	39	Wishing	Wishing
I was cleaning my daughters room the other day and found a hello kitty pot filled with water and old flowers that had turned into a green mold soup. We had a talk about keeping things like this in the house.	12	12	disgusted	disgusted
My husband opened the door and a huge wasp flew in!! It was so nasty	12	12	disgusted	disgusted
Some people in this country are just heartless. I watched someone throw their trash at a homeless man today.	6	12	ashamed	disgusted
I did not invite my sister to a party she wanted to come to. She felt hurt.	18	18	guilty	guilty
We are moving soon and I'm so ready for this move. It's going to be a whole new adventure.	3	3	anticipating	anticipating
I was so excited of my daughter when she was accepted into Harvard. She worked so hard through high school and has achieved her dream.	26	26	proud	proud
great to hear that.i hope you enjoy your new life.	34	34	encouraging	encouraging
Didn't realize my pants fell down in public	13	13	embarrassed	embarrassed
my dog is over at the vet for 4 days and it makes the house feel super lonly, i really am looking forward to my dog comming back	23	3	lonely	anticipating
There was an event that I had a social obligation to attend and I was not looking forward to it. The day of, it rained out and I sat with my girlfriend watching the rain for hours.	9	13	content	embarrassed
I am very faithful that my family will make it home in time	15	15	faithful	faithful
I am so proud of my son	26	26	proud	proud
I was loyal to the same company for 10 years.	15	15	faithful	faithful
I found a bunch of dead mice on our apartment floor the other day. I felt sick seeing that	12	12	disgusted	disgusted
I hate being alone so much, my husband works a lot of hours. He also works over an hour away that makes it rough.	23	23	lonely	lonely
I was so embarrassed when i threw up in public one day. I was feeling really sick and i couldnt help it.	6	13	ashamed	embarrassed
I bought a powerball ticket	11	14	disappointed	excited
I am continually value *health*. Too often, I see people either squandering it or not appreciating it until it's gone.	17	7	grateful	caring
We are going to Six Flags this weekend and my kids want me to ride one of the roller coasters. I haven't ridden one in a very long time and I'm really hesitant because I don't think I will like it at all. I really just want to watch.	5	5	apprehensive	apprehensive
Any time I order food, I count on the cook and server to make sure it's handled and cooked appropriately.	31	15	trusting	faithful
I was going go to the beach the other day and it rained.	11	11	disappointed	disappointed
I decided to join to group to lose weight. I had so much respect and admired what all of these people were going through with there struggle. It really helped having their support too.	20	26	impressed	proud
I had to go to a store to return a toy my nephew took. He's only 4 so he didnt realize it was wrong but still, not fun.	13	18	embarrassed	guilty
A few weeks ago a coworker called in sick. I had to work twice as long as I normally would.	2	2	annoyed	annoyed
My son scored three goals in his soccer match today!	26	26	proud	proud
lonely: she left for 3 weeks	23	23	lonely	lonely
When a baby bird was alone	7	0	caring	afraid
My two best friends are going on vacation next week and I won't have anyone else at work to goof off with.	23	23	lonely	lonely
I was surprised when my parents threw me a big party	29	29	surprised	surprised
When I was in college I was in a class with an older woman who was a returning student.  She heard me talking about a paper idea I had, then presented it as her own, stealing my work.	1	16	angry	furious
I found an old necklace my grandmother gave me for a birthday when I was very young recently. It brought back a lot of memories!	28	28	sentimental	sentimental
A few years ago I came home to an unexpected party for my birthday.  My wife (who was my girlfriend then) had planned it all with my friends without me knowing.	29	29	surprised	surprised
I know I broke up with my ex, but I can't help but feel irritated when he talks about going on dates.	21	21	jealous	jealous
My wife and I moved for her to go to school, and sometimes I really miss my friends from home.	23	23	lonely	lonely
One time I bought a new dress. It looked really good on me and I couldn't wait to wear it to the party that weekend.	8	8	confident	confident
I'm ready for college football to start. I can't wait for kickoff weekend!	3	3	anticipating	anticipating
My husband woke up with a terrible toothache and his face swollen yesterday. I was his nurse all day, giving meds and anything else he needed.	7	7	caring	caring
I was so set on getting an A on my math test I studied so hard.	9	25	content	prepared
I feel that I can make an A in my graphic design class. I have been keeping up.	8	8	confident	confident
it was so distracting trying to talk to them.	40	40	neutral	neutral
sounds like you're ready for the new position.	33	33	acknowledging	acknowledging
I love golf and watched the Scottish Open recently. I know a guy who was playing in it and he won! What a fantastic four days of watching and following him.	14	20	excited	impressed
Thinking about where I started	28	24	sentimental	nostalgic
I injured my hip a while back and am having to learn to walk again. I love to play golf and am keeping my fingers crossed I'll be able to play again.	19	19	hopeful	hopeful
My brother got a really high-paying job and now travels all over the world.  He sends pictures and talks endlessly about everything he buys, everywhere he goes, and how much money he makes.  It makes me feel insecure and like a failure.	21	21	jealous	jealous
I'm looking forward to my niece arriving from Washington. I haven't seen her in 2 years.	3	3	anticipating	anticipating
I recently graduated from college. I feel great about my accomplishments.	26	26	proud	proud
I'm so scared of bugs	0	30	afraid	terrified
I recently forgot I owed a little bit of money to my mother in law for something. It ended up being ok but being reminded wasn't that pleasent.	18	18	guilty	guilty
My sister got a promotion at work last week! She really deserved it and has been waiting for it a long time!	26	26	proud	proud
A good friend of mine moved away recently and we lost contact. I really wish we would still speak.	27	27	sad	sad
I recently received a raise at work. It came at a good time and was much needed.	17	22	grateful	joyful
i am so sorry to hear that.	36	36	sympathizing	sympathizing
I went through a divorce, I had to leave my husband and daughter behind. It broke my heart and I felt so alone.	23	23	lonely	lonely
I was dog sitting at my dad's house and I heard strange noises.	30	30	terrified	terrified
I have a birthday coming up. I really hop I get the gift I am asking for.	3	19	anticipating	hopeful
I think about my mother and I getting really sad. She has been dead for 15 years now.	28	27	sentimental	sad
I woke up in the middle of the night and looked through my doorway, which was open.  There was a sweatshirt hanging on a door, and in my sleepy daze I thought it was a real person.  I live alone so I thought it was an intruder and I just about had a heart attack. I soon realized it was just clothes hanging there, in the shape of a person.	30	30	terrified	terrified
I like that a game I love is coming out Monday. I am really excited about this.	22	14	joyful	excited
i definitely relate to that feeling, why can't they take us with them!	32	32	agreeing	agreeing
My wife got a new job with Microsoft.	26	26	proud	proud
One time I had an in person interview for a job. I did not really feel prepared for it	4	5	anxious	apprehensive
My husband had to repair something for the house and we had to buy a large amount of wood. I was so shocked when I saw him carrying it all in like it was nothing!	20	20	impressed	impressed
I've felt excited when I found out I had won a place on a prestigious creative writing course, taught by someone who I knew could help me in ways that I would I not be able to through self-study alone.	14	14	excited	excited
This week is the last week for this semester of my college courses. I can't stand having to wait to see the final grades!	3	4	anticipating	anxious
I recently found out that I have been diagnosed HIV positive, and I'm at a complete loss for words. I don't even know how to go on anymore.	10	10	devastated	devastated
I get sentimental during the holidays. I think back to the ones i had as a kid.	24	28	nostalgic	sentimental
My grandfather left a lot of his possessions to me, i recently received the stuff. was emotional to go through.	28	28	sentimental	sentimental
I had a recruiter contact me for a job, so I am hoping to get a new job!	19	19	hopeful	hopeful
I can't believe what just happened! When I went to check the mail, my neighbor's baby was riding my dog like horse!	29	29	surprised	surprised
I felt heartbroken when my dog passed away a couple months back.. I shut myself in my house for weeks after that.	27	27	sad	sad
my baby is sleeping	9	27	content	sad
did it turn out how you expected it	38	38	questioning	questioning
I miss being in high school. I still remember my old girlfriend fondly	24	24	nostalgic	nostalgic
I had been working on my dance moves for the last 6 months. I'm finally ready for my first dance off, I will win this.	8	8	confident	confident
i understand that.	32	32	agreeing	agreeing
I've already gotten my school supplies! I am ready to kill this semester.	25	25	prepared	prepared
I was looking at some old pictures of my kids' first day of school from 4 years ago.	28	24	sentimental	nostalgic
I feel so bad about myself, ate too many sweets. I'm suppose to be on a diet.	18	6	guilty	ashamed
I always carry a multi-tool and a small 4-1 screwdriver on me. I feel like I can fix almost anything with that.	25	25	prepared	prepared
Today I was getting coffee and the person in front of me paid for my drink. I couldn't believe people would be so nice, I was so thankful because money has been tight.	17	17	grateful	grateful
grateful: I thank God every day for the many blessings. Especially our new home	17	17	grateful	grateful
I lost my favorite hoodie somewhere, how could i lose a hoodie!!	11	10	disappointed	devastated
Several years ago one of my neighbors dogs attacked me and I had to go to the hospital to get stitches.	30	30	terrified	terrified
I'm just laying in bed with a scented candle burning in my room and my cat on my lap, things couldn't be any better.	9	9	content	content
it really annoys me wheen my little brother throws food on the table and eats with his mouth open just to bothern me	2	2	annoyed	annoyed
One of the neighbors has a white husky dog. I was walking one day and it approached me and started growling, i thought it was going to bite me.	0	30	afraid	terrified
when i was young i hit a car on the parking lot and left without saying anynthing beacuse i  did not see a mark on the other car	18	18	guilty	guilty
My husband and I went to see a house a while back, called The Mansion. We went through the door and felt an icy blast like nothing I've experienced before. When I went upstairs I became terrified and ran down and out the door!	0	30	afraid	terrified
My coworker received a promotion over me. I am envious of his newfound success.	21	21	jealous	jealous
I really really would like to make a good grade on my midterm exam this week. It's my first graduate level course, so I need to be on point.	19	8	hopeful	confident
I was buying some beer and smokes with a couple of old friends of mine. They were in from out of town and we had been partying in an abandoned lot with a bunch of my in town friends. On our way back from the gas station, we heard some noise, and went through a hole in the fence to find a full blown speakeasy!	29	29	surprised	surprised
Wondering about the future	4	5	anxious	apprehensive
My border collie had to be put down due to a neurological disorder that could not be treated.	27	27	sad	sad
Well, last night I was so fed-up with the racket coming from the upstairs apartment, I put jazz music on quite loudly and went to bed. I really shouldn't have done that!	6	13	ashamed	embarrassed
I couldn't believe it when my dog died a few weeks ago. I honestly thought I was going to stay lonely forever. When my girlfriend asked me if I wanted to go look at dogs to cheer me up, I said no.	27	27	sad	sad
My neighbor had her dog outside on the walkway between our condo units.  This dog is loud and doesn't like my dogs, so we have to avoid when it's outside.  I needed to walk my dogs and couldn't because it was out there.	2	2	annoyed	annoyed
Just finished eating dinner.  We had red beans and rice with sausage.  I'm as full as a tick!	9	9	content	content
When I was a teen, I worked as a server at a restaurant. My family, including my grandmother came to sit in my section, and the host informed them I was picking up my grandmother from the airport. I was mortified.	6	12	ashamed	disgusted
annoy: I can't find another way to earn money	2	2	annoyed	annoyed
My eldest niece graduated High School recently. It's absolutely wonderful as she's worked so hard to do well and she totally deserves it. She helps take care of her disabled younger sister too, which is a lot for a teenager.	26	26	proud	proud
I was so scared when i heard a gunshot sound the other day while i was walking through the street. i managed to get the hell out of there	0	30	afraid	terrified
it was really hard for me when i heard i dint get accepted in my dream college, but i moved on and got into another one that was not as good	10	10	devastated	devastated
I know I will be safe in the event of a total nuclear holocaust as long as I duck and cover underneath the nearest school desk. There's just not a single thing wrong with my plan.	25	25	prepared	prepared
I once walked alone in the woods at night. I was so scared.	30	30	terrified	terrified
My husband just got a promotion at work!  He has worked so hard to get this and I am very excited for him!	26	26	proud	proud
maybe if i saw them again those memories would come back.	37	37	suggesting	suggesting
Every year around Christmas time, I think back to the good old days. All of our neighbors would get together and someone would dress up as Santa. It was like everyone was one big family.	24	24	nostalgic	nostalgic
When my girlfriend saw me cheating	6	15	ashamed	faithful
and maybe a little embarrassing, lol.	37	33	suggesting	acknowledging
that does not sound plpeasant at all, maybe they should relocate those who are staying there.	37	37	suggesting	suggesting
I have been very satisfied with life recently. My relationships are going well.	9	9	content	content
I couldn't finish my plate	16	2	furious	annoyed
My mother in law got to eat at one of my favorite places today. Qdoba- she was traveling back from Ohio and the airport had one.	21	9	jealous	content
I'm a bit worried this morning. I get the results of some tests my doctor did on me. Hope everything's ok.	5	4	apprehensive	anxious
I interviewed for a dream job of mine last week. I found out today that I didn't get it.	11	11	disappointed	disappointed
Everyone in my Calc class was stressed out over an exam. A few days before the test, a class mate announced she had made a study guide and would be glad to e-mail anyone a copy. It was because of her that I got a B.	17	17	grateful	grateful
I have recently become vegan because of health reasons and I am very impressed with the food.  I have found some amazing recipes that make me not miss meat at all	20	9	impressed	content
My baby is sleeping my house is clean	9	9	content	content
I went to the fridge looking for my last piece of chocolate I was saving and it was gone!	11	11	disappointed	disappointed
i get shocked at how the growth rate of video games is off the charts, video games have com such a long way	20	29	impressed	surprised
Someone called my house last night at 2 in the morning and woke me up. It was a wrong number but they didn't believe me when I told them I didn't know a Bret.	2	29	annoyed	surprised
It's been a great week! I got a promotion at work and my husband has been so caring!	9	17	content	grateful
I value my friendships. I told a friend I would visit her this week and even though some things came up and I don't have the time I'm going to make the time.	15	15	faithful	faithful
at least you got to know her for as long as you did	40	40	neutral	neutral
A while back I decided to move from Florida to California and wanted to drive. I have driven West to East, but never the other way. I knew I could do it though - just take my time and enjoy the trip!	8	25	confident	prepared
Lately, my family and I have been very blessed. We have been going to a three week long revival, our major bills for the month are already paid, and we have all been healthy and happy. Life is pretty good right now.	9	9	content	content
I was walking back to the table my family was sitting at in a restaurant and somehow accidentally sat down at the wrong table.	13	13	embarrassed	embarrassed
maybe once you feel like you can bring it up again, you can try to approach the topic from another angle.	37	37	suggesting	suggesting
I was at disney world, and I was going to go on the tycoon rollar coaster but as soon as I got to the top of the line all I could do was worry about the height.	5	30	apprehensive	terrified
When I was in second grade, I wet my pants in the middle of class.	13	13	embarrassed	embarrassed
how long did it take you to get your promotion?	38	38	questioning	questioning
i was pleasantly taken aback when i saw hamilton. Lin manuel is a true genius!	20	20	impressed	impressed
Every time I see my husband I know I could never cheat on him. We are both flirty people but know that it will never be worth messing up what we have.	15	15	faithful	faithful
I can't wait until next week. We have planned a family get-together and I haven't seen my brother and sister for more than a year. I am really looking forward to seeing them and catching up.	3	3	anticipating	anticipating
I just moved to this area quite recently and am quite pleased with the quality of stores, restaurants and variety of accommodations available. It most certainly was not expected.	29	20	surprised	impressed
I was going in to watch a certain movie recently that I was expecting to be pretty bad but turned out to be really good.	29	5	surprised	apprehensive
When I was younger, this little kid was going around tripped other kids and being a jerk in general. He was picking on kids smaller than him, which really annoyed me. So, I tripped him with a hoola hoop.	1	6	angry	ashamed
I'm training a new girl at work. She is doing so good for her first week!	26	26	proud	proud
One time I got a week's vacation from work. I got to spend a lot of time watching my favorite shows	9	9	content	content
I visited an orphan once and just being there made me so thankful for parents and family	17	28	grateful	sentimental
My boss has been a pain lately, he dosen't understand how long it takes to get certain tasks done. I am at my whitts end, thinking about quitting.	2	2	annoyed	annoyed
that's awful, but better safe than sorry.	36	33	sympathizing	acknowledging
?	38	38	questioning	questioning
nice!	33	33	acknowledging	acknowledging
I recently got admitted into a Master's program for school. I will be attending the University of Florida.	14	19	excited	hopeful
my son went for his first day of kindergarten. He likes it so far so thats good.	19	26	hopeful	proud
I once found out my step father was stealing money from my mother to buy drugs. I confronted him about it and got in a fist fight with him.	16	16	furious	furious
I took my final exams two weeks ago and I was sure that I had done well. I studied and got good grades on all of my quizes but when I got my results back I had failed the test and have to retake the class.	8	11	confident	disappointed
We found out our son wasn't as sick as we thought he was and I was really glad.	17	17	grateful	grateful
One time my dog got hit by a car. He did not survive.	10	10	devastated	devastated
i am sorry to hear that.	36	36	sympathizing	sympathizing
I was on an airplane last week, and someone's baby would not stop crying. I know it isn't right to be upset about such things, but it really bothered me.	1	2	angry	annoyed
Having a toothache is irritating	2	2	annoyed	annoyed
I was leaving the grocery store today and some man flagged me down. I was scared at first to stop but then he hollered that I left my purse on top of the car. I couldn't believe that I done that.	13	13	embarrassed	embarrassed
i absolutely agree.	32	32	agreeing	agreeing
i believe if he had the help he needed, he would not have to steal tiny amounts of food.	40	37	neutral	suggesting
i cant wait for the next starwars movie, there my favorite movies of all time	14	3	excited	anticipating
I am sad that my parents didn't attend my birthday	27	11	sad	disappointed
We had to evacuate our home due to a hurricane. We knew it might happen so we got organized and packed what we would need and put it all in the car.	25	25	prepared	prepared
I was impressed by the way my daughter sings ... it's wonderful ... I did not hear something like that	29	20	surprised	impressed
okay, it wasn't just one, it was three: one cherry, and two grape.	40	40	neutral	neutral
My family and I are close to aquiring a new home.  It is a home in need of some repairs and we can't wait to get started on renovations.	3	3	anticipating	anticipating
I was trying to take a nap and my neighbor had her loud tiny dog outside.  It kept me up and she wouldn't shut it up for anything.	2	2	annoyed	annoyed
I had a video job interview.	4	4	anxious	anxious
It drove me up the wall this morning when I realized I ran out of coffee filters without getting more at the grocery store the other day. I can't believe I forgot to check!	2	16	annoyed	furious
I was furious when my dog ate the wires to my Television.	16	1	furious	angry
i hope you have all the emergency essentials you need for next time.	35	34	consoling	encouraging
My son got picked to be on the soccer team that he was on last year!	29	26	surprised	proud
A few weeks ago my loud upstairs neighbors went away for a week. What a difference to the whole life experience here! I felt relaxed and as if all was right in my world.	9	9	content	content
i wish you the best	39	39	Wishing	Wishing
I sat in my kitchen the other night and just listened to the rain hit the window for an hour. I felt so happy and whole.	9	9	content	content
maybe not a true friend after all.	37	37	suggesting	suggesting
I am sad that my friends dont visit me	27	23	sad	lonely
i wish i still had it.	40	40	neutral	neutral
i was eating at a really fancy restaurant and found a little ball of hair in my food i was really disgusted	12	12	disgusted	disgusted
I am going to a concert in a few weeks. One my favorite bands is playing and the starting act is great too.	14	14	excited	excited
was it recently?	38	38	questioning	questioning
I am prepared to go camping tonight in the woods	25	25	prepared	prepared
very nice, wind in your hair, exercise, and fresh air.	33	33	acknowledging	acknowledging
I was at the grocery store the other day and I wasn't paying attention because I was looking at my phone. I hit a display and knocked everything over. I was hoping no one was around and wouldn't notice but there were a few people staring directly at me and my face was bright red.	13	13	embarrassed	embarrassed
was lied to about moving in to our own place	11	10	disappointed	devastated
i hope it's controllable.	35	35	consoling	consoling
that's good prayer can comfort, maybe you should talk to your pastor	37	37	suggesting	suggesting
so cool, i hope it goes well	33	34	acknowledging	encouraging
The start of school for my 2 kids is less than a week away. I have everything they need and more except for a couple notebooks.	25	25	prepared	prepared
yes i am going to coffee shop the man speech is  so guilty	18	0	guilty	afraid
When I was a kid I wanted to be popular, so I was envious of the popular kids	21	21	jealous	jealous
it makes me really sad that people dont care about throwing trash on the streets.	28	12	sentimental	disgusted
or maybe he's having other trouble that's affecting his studies	37	37	suggesting	suggesting
anger: no confidence to speak to girls until age 22	1	0	angry	afraid
I was at home at the end of a long work week.  I was sitting on the couch with my wife watching tv while our dogs were lying by each of us.	9	13	content	embarrassed
i hope that it is able to be treated well.	34	35	encouraging	consoling
When I applied for the job I have now, it took them almost a month to get back to me.  I contacted them two or three times and they kept telling me they were working on it.	4	3	anxious	anticipating
I am sitting here waiting on something expensive I ordered online. It should be on my doorstep any second. Need it for this weekend.	3	3	anticipating	anticipating
I watch so many scary movies that I haven't been able to sleep alone in years due to fear.	0	30	afraid	terrified
I Love my husband. He has been so sweet this week. He knew I had a long day today so he bought me my favourite wine and Taco Bell!	7	17	caring	grateful
One time for my birthday my college friends "kidnapped" me and put me in the trunk of a car and dunked me in a fountain	29	13	surprised	embarrassed
I was sorting through some stuff recently and came across some old Christmas cards. It was lovely to read them and remember the friends and family who sent them!	28	28	sentimental	sentimental
that's pretty funny and maybe a little embarassing too.	37	33	suggesting	acknowledging
maybe it has something to do with your diet ?	37	37	suggesting	suggesting
When my parents got a divorce.	27	27	sad	sad
i felt really guilty about lying to my parents when i was a child.. yeah, its been a while, but still i feel bad about it	18	18	guilty	guilty
Last weekend, my children, husband and I enjoyed a delicious meal and watched a movie together at home. It was relaxing and a good time.	9	9	content	content
I stole money from a good friend when I was a young adult.  I did it because I needed food, but have never been able to live it down.	6	18	ashamed	guilty
While I didn't know him personally, I was quite distressed to hear of the passing of Anthony Bourdain. That a man with such talent who has given so much joy to so many people, should feel he has to take his life is just soul-destroying.	27	12	sad	disgusted
My husband usually gets a big bonus this time of the year! We are eagerly waiting for it, and hoping!	3	3	anticipating	anticipating
My sister spilled milk on me. I hated it	2	1	annoyed	angry
i know how you feel though.	32	32	agreeing	agreeing
My upstairs neighbors are away for the weekend and I am as happy as a clam. No thumping, screeching, playing loud video games. Heaven!	9	9	content	content
i didn't get along with my dad until i became an adult.	40	40	neutral	neutral
hopefully by next year!	34	34	encouraging	encouraging
i'm sorry.	36	36	sympathizing	sympathizing
My brother got my dream vehicle as his first car	21	21	jealous	jealous
My boyfriend's cat wakes me up every morning at 4 AM. He just stands in the hallway and meows, even if he's been fed. It drives me nuts!	2	2	annoyed	annoyed
Easter when my dad had the whole yard covered with eggs	29	12	surprised	disgusted
Me found cave. Me found paint of wife. Me remember how wife hunt big mammoth. Me smile.	24	28	nostalgic	sentimental
