input	Gold	Pred	Gold_Label	Predicted_Label
i have tried lending money to friends but finally had to stop after never getting it back	40	40	neutral	neutral
I got to take my wife on a trip she has been wanting to take for over a decade on her 30th birthday.	22	29	joyful	surprised
I studied really hard for a physics exam and still didn't get a B, which I need for my major.	11	11	disappointed	disappointed
I moved away from my parents not too long ago. It's been really different and a little too quiet.	23	23	lonely	lonely
My husband might loose his job. I'm not sure what we will do if he does. His company is downsizing.	30	5	terrified	apprehensive
I was surprised to learn how different my two kids' personalities could be. Silly, I know. But true!	29	29	surprised	surprised
was it a bad one?	38	38	questioning	questioning
Anthony Bourdain was a huge inspiration for me when I worked in a kitchen. Everyone I have worked wi	27	20	sad	impressed
I was cleaning up my garden and found a bunch of old bones in it!	12	24	disgusted	nostalgic
oh that sounds like fun	33	33	acknowledging	acknowledging
My cat seems to like my new girlfriend more than me, he sleeps with her on her side of the bed now.	21	21	jealous	jealous
I stole some candy from the grocery store. I wanted to see if I could get away with it.	18	18	guilty	guilty
When i lost my dog of 12 years i was absolutely devastated.	10	10	devastated	devastated
right now I am listening to songs on youtube. Tupac. takes me back!	24	24	nostalgic	nostalgic
oh, how cool!	33	33	acknowledging	acknowledging
my brother would've turned 34 today	10	29	devastated	surprised
i remember feeling like that and it was horrible.	40	32	neutral	agreeing
I was sitting here petting my cat on my lap	9	9	content	content
jealous: I was shorter and younger. Yeliz	21	21	jealous	jealous
I had interviewed for a job I really wanted. I was waiting for a response for a little while.	19	19	hopeful	hopeful
i recently burned my hair with my hair drier and it looks so bad, i wonder what people think when th	13	4	embarrassed	anxious
I was annoyed when my favorite show wasn't on	2	2	annoyed	annoyed
I started a garden and eventually got into trying to propagate plants by planting cuttings, eventual	29	19	surprised	hopeful
I forgot about a glass of tea outside the other night and when I went to get it today it was full of	12	13	disgusted	embarrassed
I have a job interview next week that I have been getting ready for.	25	25	prepared	prepared
i didnt shower for a few days and had an important meeting. I could tell that they could smell me. I	13	13	embarrassed	embarrassed
I have been trying to lose weight in a group and while i made it to 4 lbs, my friends made it to 15.	21	26	jealous	proud
I havent seen my niece much lately. My sister wanted me to babysit, and I was excited to actually ge	11	29	disappointed	surprised
sorry for your loss friend :(	36	36	sympathizing	sympathizing
i hope she loves learning her whole life.	35	34	consoling	encouraging
My brother recently proposed to his girlfriend. They are already talking about when they want to hav	26	21	proud	jealous
congratulations.	39	39	Wishing	Wishing
I always make sure I have everything we need when we go on vacation. I packed medication, sunscreen,	25	25	prepared	prepared
i know that feeling though.	32	32	agreeing	agreeing
i hope when i get married it turns out just as good.	34	34	encouraging	encouraging
My mother knew I had been really stressed and busy. She brought over a whole week of meals to help.	17	17	grateful	grateful
I studied for 3 months straight in order to pass my bar exam and become a lawyer.	25	25	prepared	prepared
he was only 32	40	40	neutral	neutral
I interviewed for a job and thought the interview went decent. I just had to wait to hear back from	19	11	hopeful	disappointed
thats cool	33	33	acknowledging	acknowledging
We are suppose to be having a bad storm this weekend. I have been stocking up on food and supplies.	25	25	prepared	prepared
I joined a organization 6 months ago as a sales representative. But, with my hard work and talent th	17	26	grateful	proud
I feel so bad when I think back to times that I yelled at my kids for no real good reason.	18	18	guilty	guilty
of course, but that is certainly not the most important thing in life, i hope you realize now.	34	32	encouraging	agreeing
I came home the other day and my roommate had a friend over. I've only seen him with a friend over o	29	21	surprised	jealous
My friend lives in a big house	21	21	jealous	jealous
I had to replace my toilet the other day. It wasn't pleasant.	12	12	disgusted	disgusted
I stole from my friends when I was young. I feel terrible	6	18	ashamed	guilty
I plan for weeks every time we go on vacation and make sure we have everything we need. I didn't do	25	25	prepared	prepared
i know exactly how you feel.	32	32	agreeing	agreeing
All my friends live in a different country	23	23	lonely	lonely
I was really scared when I got off a plane in Los Angeles and no one was in the terminal at 4 in the	0	30	afraid	terrified
My neighbors dogs keep barking, and my daughter is asleep. I'm afraid they are going to wake her up!	1	30	angry	terrified
I was so awestruck to see Hamilton. It was such an awesome show	20	20	impressed	impressed
Donald Trump was elected to the presidency. This makes me lose faith in humanity, to be quite honest	12	12	disgusted	disgusted
My mother became ill and she had to be hospitalized. I was very concerned, but she was much better a	17	7	grateful	caring
Brother probably getting a better car than me	21	21	jealous	jealous
I was doing some freelance work for a friend and it didn't work out the way I had wanted to - the re	11	11	disappointed	disappointed
I think I can get much better grades at school this semester!	19	8	hopeful	confident
I really felt happy when i went to see my family the other day. They always warm my heart	22	22	joyful	joyful
or maybe a good thing if he wasn't good for you.	37	40	suggesting	neutral
I was laying in bed getting ready to fall asleep when I realized just how happy I was. I felt so pea	9	9	content	content
ne fl, i know how you feel, only i couldn't get gas for my car because there was no gas anywhere!	32	40	agreeing	neutral
I fainted on the bus. All of the passages looked at me with disdain.	13	13	embarrassed	embarrassed
I bought iced coffee and my brother drank it. I was looking forward to drinking it in the morning.	2	11	annoyed	disappointed
I had my t-shirt fly up in the wind and accidently flashed some people	13	13	embarrassed	embarrassed
I gratuated from college with the highest score in the past 20 years	26	26	proud	proud
My boss scolded me for something I didn't do.	1	1	angry	angry
They arrested 9 people at a nearby farm for animal cruelty and they are already out on bond!	16	29	furious	surprised
I spent a Christmas working in a computer lab on a school project. My family were thousands of mile	23	29	lonely	surprised
well i hope they get there soon so you don't have to wait longer.	34	35	encouraging	consoling
My neighbor ran into my car! They didn't even leave a note!	1	16	angry	furious
Kids will be kids, but I'm still ashamed when I think of how I treated one girl in sixth grade. I le	6	6	ashamed	ashamed
don't be too rough on them.	38	40	questioning	neutral
I was accepted in to University after years of being an alcoholic restaurant industry worker, often	22	26	joyful	proud
the color of your eyes, the sweetness of lips, the beauty of hair, is a memory that I will not forge	24	28	nostalgic	sentimental
I fell down at work, and my khaki pants ripped open.	13	13	embarrassed	embarrassed
i am sorry that happened.	36	36	sympathizing	sympathizing
I practiced running so much, I was confident I was going to win the 50 metre sprint at my school.	8	8	confident	confident
I am super joyful when my family comes together to eat dinner	22	22	joyful	joyful
When I got falsely accused of eating my roommate's ice cream last night, I was completely outraged!	16	16	furious	furious
are you feeling better?	38	38	questioning	questioning
i hope you find yourself a nice and wealthy boyfriend!	33	34	acknowledging	encouraging
I ended up watching all the Robin williams movies I could think of last week end. It was a lot of go	28	24	sentimental	nostalgic
I had a job interview yesterday. I was really nervous before it started.	5	4	apprehensive	anxious
i am really scared of spiders i cant stand them, i think it is my worst fear	0	0	afraid	afraid
I had to go to a wedding far out of the city I live in, and needed someone to watch my dogs. A frie	17	23	grateful	lonely
maybe ill look into some classes and give it a shot	37	37	suggesting	suggesting
what kind of pizza is it?	38	38	questioning	questioning
I walk out on belief that I will be lead down the right path. I read the bible and I know the answer	31	8	trusting	confident
I had to clean beneath a desk which had not been cleaned in about three years, after there had been	5	12	apprehensive	disgusted
happy anniversary!	39	39	Wishing	Wishing
i hope she is doing better now.	35	35	consoling	consoling
I had enough money to cover an emergency expense for my family	26	17	proud	grateful
my husband was gone all weekend buying us a new puppy, so i understand feeling lonely!	32	23	agreeing	lonely
that's great!	33	33	acknowledging	acknowledging
While out walking in a Boston suburb, we heard some animal cries. It turned out to be a baby kitten	7	10	caring	devastated
I had gone on an interview for a job I wanted. I was waiting to hear back, but it was taking a real	4	4	anxious	anxious
Do you know the feeling of drinking hot cocoa on a cold winter's night?	9	38	content	questioning
I decided I wanted a puppy and put out the word I was looking for one. On the way to get my new pupp	14	25	excited	prepared
I have a test coming up that I've been studying for non stop.	25	8	prepared	confident
It's been a hard night tonight, just sitting on the couch by myself watching TV.	23	23	lonely	lonely
Remembering the high school days brings back memories	24	24	nostalgic	nostalgic
My four year old daughter came up to me and said she thought daddy needed a huge and kiss. She then	22	29	joyful	surprised
I recently said goodbye to a good friend for a while. I love her!	27	7	sad	caring
Watching my two daughters playing volley ball with their team makes me remember all the games I play	24	24	nostalgic	nostalgic
they must have been really happy.	33	33	acknowledging	acknowledging
im sorry, thats awful.	36	36	sympathizing	sympathizing
I have a really big game coming up this weekend. I haven't played soccer since I was a kid and have	4	14	anxious	excited
I was watching a kid skateboarding and he pulled of a jump and trick that really rather blew me away	20	20	impressed	impressed
I was trying to take a nap, but my cat kept on trying to play with my head.	2	2	annoyed	annoyed
I am still fuming when I think about the person that keyed my car the other day while I was at the g	1	16	angry	furious
i hope you have a great time.	34	34	encouraging	encouraging
on the way to the airport the other day the car broke down. didn't know if was going to make it to t	5	31	apprehensive	trusting
can you make it up to her somehow?	38	38	questioning	questioning
maybe i will try that.	37	37	suggesting	suggesting
when i was going through a divorce, money was tight, my mom stepped in and helped with attorney fees	17	17	grateful	grateful
damn that sounds like a pretty good one!	33	33	acknowledging	acknowledging
My dog started walking again after an accident last week. So happy to see her getting back on her fe	7	26	caring	proud
A separation is something that hurts, especially when you love with your heart	27	32	sad	agreeing
am sorry to hear that, may he rest in peace	36	36	sympathizing	sympathizing
I recently booked our vacation accommodations in Florida, which we are going to in a few weeks. We h	14	3	excited	anticipating
We were buying a new kind of sausage for the first time and I was really nervous if it was good or n	5	5	apprehensive	apprehensive
I got cut off in traffic the other day. There was noone behind me for a long way but no, they had to	16	1	furious	angry
apprehensive: travelling to dubai	5	5	apprehensive	apprehensive
When i play old games i get nostalgic.	24	24	nostalgic	nostalgic
My mom sent my daughter a toy I played with when I was a child. It is neat to see and remember when	24	28	nostalgic	sentimental
congratulations!	39	39	Wishing	Wishing
I was cleaning my daughters room the other day and found a hello kitty pot filled with water and old	12	24	disgusted	nostalgic
My husband opened the door and a huge wasp flew in!! It was so nasty	12	12	disgusted	disgusted
Some people in this country are just heartless. I watched someone throw their trash at a homeless ma	6	12	ashamed	disgusted
I did not invite my sister to a party she wanted to come to. She felt hurt.	18	11	guilty	disappointed
We are moving soon and I'm so ready for this move. It's going to be a whole new adventure.	3	3	anticipating	anticipating
I was so excited of my daughter when she was accepted into Harvard. She worked so hard through high	26	26	proud	proud
great to hear that.i hope you enjoy your new life.	34	34	encouraging	encouraging
Didn't realize my pants fell down in public	13	13	embarrassed	embarrassed
my dog is over at the vet for 4 days and it makes the house feel super lonly, i really am looking fo	23	19	lonely	hopeful
There was an event that I had a social obligation to attend and I was not looking forward to it. The	9	5	content	apprehensive
I am very faithful that my family will make it home in time	15	15	faithful	faithful
I am so proud of my son	26	26	proud	proud
I was loyal to the same company for 10 years.	15	15	faithful	faithful
I found a bunch of dead mice on our apartment floor the other day. I felt sick seeing that	12	12	disgusted	disgusted
I hate being alone so much, my husband works a lot of hours. He also works over an hour away that ma	23	23	lonely	lonely
I was so embarrassed when i threw up in public one day. I was feeling really sick and i couldnt help	6	13	ashamed	embarrassed
I bought a powerball ticket	11	19	disappointed	hopeful
I am continually value *health*. Too often, I see people either squandering it or not appreciating i	17	7	grateful	caring
We are going to Six Flags this weekend and my kids want me to ride one of the roller coasters. I hav	5	30	apprehensive	terrified
Any time I order food, I count on the cook and server to make sure it's handled and cooked appropria	31	25	trusting	prepared
I was going go to the beach the other day and it rained.	11	11	disappointed	disappointed
I decided to join to group to lose weight. I had so much respect and admired what all of these peopl	20	15	impressed	faithful
I had to go to a store to return a toy my nephew took. He's only 4 so he didnt realize it was wrong	13	18	embarrassed	guilty
A few weeks ago a coworker called in sick. I had to work twice as long as I normally would.	2	2	annoyed	annoyed
My son scored three goals in his soccer match today!	26	26	proud	proud
lonely: she left for 3 weeks	23	23	lonely	lonely
When a baby bird was alone	7	23	caring	lonely
My two best friends are going on vacation next week and I won't have anyone else at work to goof off	23	23	lonely	lonely
I was surprised when my parents threw me a big party	29	29	surprised	surprised
When I was in college I was in a class with an older woman who was a returning student. She heard m	1	31	angry	trusting
I found an old necklace my grandmother gave me for a birthday when I was very young recently. It bro	28	28	sentimental	sentimental
A few years ago I came home to an unexpected party for my birthday. My wife (who was my girlfriend	29	29	surprised	surprised
I know I broke up with my ex, but I can't help but feel irritated when he talks about going on dates	21	2	jealous	annoyed
My wife and I moved for her to go to school, and sometimes I really miss my friends from home.	23	23	lonely	lonely
One time I bought a new dress. It looked really good on me and I couldn't wait to wear it to the par	8	8	confident	confident
I'm ready for college football to start. I can't wait for kickoff weekend!	3	3	anticipating	anticipating
My husband woke up with a terrible toothache and his face swollen yesterday. I was his nurse all day	7	7	caring	caring
I was so set on getting an A on my math test I studied so hard.	9	8	content	confident
I feel that I can make an A in my graphic design class. I have been keeping up.	8	8	confident	confident
it was so distracting trying to talk to them.	40	40	neutral	neutral
sounds like you're ready for the new position.	33	33	acknowledging	acknowledging
I love golf and watched the Scottish Open recently. I know a guy who was playing in it and he won! W	14	20	excited	impressed
Thinking about where I started	28	24	sentimental	nostalgic
I injured my hip a while back and am having to learn to walk again. I love to play golf and am keepi	19	17	hopeful	grateful
My brother got a really high-paying job and now travels all over the world. He sends pictures and t	21	20	jealous	impressed
I'm looking forward to my niece arriving from Washington. I haven't seen her in 2 years.	3	3	anticipating	anticipating
I recently graduated from college. I feel great about my accomplishments.	26	26	proud	proud
I'm so scared of bugs	0	30	afraid	terrified
I recently forgot I owed a little bit of money to my mother in law for something. It ended up being	18	18	guilty	guilty
My sister got a promotion at work last week! She really deserved it and has been waiting for it a lo	26	21	proud	jealous
A good friend of mine moved away recently and we lost contact. I really wish we would still speak.	27	27	sad	sad
I recently received a raise at work. It came at a good time and was much needed.	17	17	grateful	grateful
i am so sorry to hear that.	36	36	sympathizing	sympathizing
I went through a divorce, I had to leave my husband and daughter behind. It broke my heart and I fel	23	10	lonely	devastated
I was dog sitting at my dad's house and I heard strange noises.	30	30	terrified	terrified
I have a birthday coming up. I really hop I get the gift I am asking for.	3	3	anticipating	anticipating
I think about my mother and I getting really sad. She has been dead for 15 years now.	28	27	sentimental	sad
I woke up in the middle of the night and looked through my doorway, which was open. There was a swe	30	0	terrified	afraid
I like that a game I love is coming out Monday. I am really excited about this.	22	14	joyful	excited
i definitely relate to that feeling, why can't they take us with them!	32	32	agreeing	agreeing
My wife got a new job with Microsoft.	26	26	proud	proud
One time I had an in person interview for a job. I did not really feel prepared for it	4	5	anxious	apprehensive
My husband had to repair something for the house and we had to buy a large amount of wood. I was so	20	16	impressed	furious
I've felt excited when I found out I had won a place on a prestigious creative writing course, taugh	14	26	excited	proud
This week is the last week for this semester of my college courses. I can't stand having to wait to	3	4	anticipating	anxious
I recently found out that I have been diagnosed HIV positive, and I'm at a complete loss for words.	10	10	devastated	devastated
I get sentimental during the holidays. I think back to the ones i had as a kid.	24	28	nostalgic	sentimental
My grandfather left a lot of his possessions to me, i recently received the stuff. was emotional to	28	28	sentimental	sentimental
I had a recruiter contact me for a job, so I am hoping to get a new job!	19	19	hopeful	hopeful
I can't believe what just happened! When I went to check the mail, my neighbor's baby was riding my	29	29	surprised	surprised
I felt heartbroken when my dog passed away a couple months back.. I shut myself in my house for week	27	27	sad	sad
my baby is sleeping	9	27	content	sad
did it turn out how you expected it	38	38	questioning	questioning
I miss being in high school. I still remember my old girlfriend fondly	24	24	nostalgic	nostalgic
I had been working on my dance moves for the last 6 months. I'm finally ready for my first dance off	8	25	confident	prepared
i understand that.	32	32	agreeing	agreeing
I've already gotten my school supplies! I am ready to kill this semester.	25	25	prepared	prepared
I was looking at some old pictures of my kids' first day of school from 4 years ago.	28	24	sentimental	nostalgic
I feel so bad about myself, ate too many sweets. I'm suppose to be on a diet.	18	18	guilty	guilty
I always carry a multi-tool and a small 4-1 screwdriver on me. I feel like I can fix almost anythin	25	8	prepared	confident
Today I was getting coffee and the person in front of me paid for my drink. I couldn't believe peopl	17	1	grateful	angry
grateful: I thank God every day for the many blessings. Especially our new home	17	17	grateful	grateful
I lost my favorite hoodie somewhere, how could i lose a hoodie!!	11	10	disappointed	devastated
Several years ago one of my neighbors dogs attacked me and I had to go to the hospital to get stitch	30	30	terrified	terrified
I'm just laying in bed with a scented candle burning in my room and my cat on my lap, things couldn'	9	9	content	content
it really annoys me wheen my little brother throws food on the table and eats with his mouth open ju	2	2	annoyed	annoyed
One of the neighbors has a white husky dog. I was walking one day and it approached me and started g	0	29	afraid	surprised
when i was young i hit a car on the parking lot and left without saying anynthing beacuse i did not	18	18	guilty	guilty
My husband and I went to see a house a while back, called The Mansion. We went through the door and	0	0	afraid	afraid
My coworker received a promotion over me. I am envious of his newfound success.	21	21	jealous	jealous
I really really would like to make a good grade on my midterm exam this week. It's my first graduate	19	19	hopeful	hopeful
I was buying some beer and smokes with a couple of old friends of mine. They were in from out of tow	29	31	surprised	trusting
Wondering about the future	4	5	anxious	apprehensive
My border collie had to be put down due to a neurological disorder that could not be treated.	27	27	sad	sad
Well, last night I was so fed-up with the racket coming from the upstairs apartment, I put jazz musi	6	13	ashamed	embarrassed
I couldn't believe it when my dog died a few weeks ago. I honestly thought I was going to stay lonel	27	27	sad	sad
My neighbor had her dog outside on the walkway between our condo units. This dog is loud and doesn'	2	2	annoyed	annoyed
Just finished eating dinner. We had red beans and rice with sausage. I'm as full as a tick!	9	12	content	disgusted
When I was a teen, I worked as a server at a restaurant. My family, including my grandmother came to	6	7	ashamed	caring
annoy: I can't find another way to earn money	2	2	annoyed	annoyed
My eldest niece graduated High School recently. It's absolutely wonderful as she's worked so hard to	26	26	proud	proud
I was so scared when i heard a gunshot sound the other day while i was walking through the street. i	0	30	afraid	terrified
it was really hard for me when i heard i dint get accepted in my dream college, but i moved on and g	10	10	devastated	devastated
I know I will be safe in the event of a total nuclear holocaust as long as I duck and cover undernea	25	25	prepared	prepared
I once walked alone in the woods at night. I was so scared.	30	30	terrified	terrified
My husband just got a promotion at work! He has worked so hard to get this and I am very excited fo	26	26	proud	proud
maybe if i saw them again those memories would come back.	37	37	suggesting	suggesting
Every year around Christmas time, I think back to the good old days. All of our neighbors would get	24	24	nostalgic	nostalgic
When my girlfriend saw me cheating	6	15	ashamed	faithful
and maybe a little embarrassing, lol.	37	40	suggesting	neutral
that does not sound plpeasant at all, maybe they should relocate those who are staying there.	37	37	suggesting	suggesting
I have been very satisfied with life recently. My relationships are going well.	9	9	content	content
I couldn't finish my plate	16	2	furious	annoyed
My mother in law got to eat at one of my favorite places today. Qdoba- she was traveling back from O	21	20	jealous	impressed
I'm a bit worried this morning. I get the results of some tests my doctor did on me. Hope everything	5	4	apprehensive	anxious
I interviewed for a dream job of mine last week. I found out today that I didn't get it.	11	11	disappointed	disappointed
Everyone in my Calc class was stressed out over an exam. A few days before the test, a class mate an	17	4	grateful	anxious
I have recently become vegan because of health reasons and I am very impressed with the food. I hav	20	20	impressed	impressed
My baby is sleeping my house is clean	9	26	content	proud
I went to the fridge looking for my last piece of chocolate I was saving and it was gone!	11	16	disappointed	furious
i get shocked at how the growth rate of video games is off the charts, video games have com such a l	20	29	impressed	surprised
Someone called my house last night at 2 in the morning and woke me up. It was a wrong number but the	2	0	annoyed	afraid
It's been a great week! I got a promotion at work and my husband has been so caring!	9	17	content	grateful
I value my friendships. I told a friend I would visit her this week and even though some things came	15	31	faithful	trusting
at least you got to know her for as long as you did	40	40	neutral	neutral
A while back I decided to move from Florida to California and wanted to drive. I have driven West to	8	25	confident	prepared
Lately, my family and I have been very blessed. We have been going to a three week long revival, our	9	17	content	grateful
I was walking back to the table my family was sitting at in a restaurant and somehow accidentally sa	13	13	embarrassed	embarrassed
maybe once you feel like you can bring it up again, you can try to approach the topic from another a	37	37	suggesting	suggesting
I was at disney world, and I was going to go on the tycoon rollar coaster but as soon as I got to th	5	30	apprehensive	terrified
When I was in second grade, I wet my pants in the middle of class.	13	13	embarrassed	embarrassed
how long did it take you to get your promotion?	38	38	questioning	questioning
i was pleasantly taken aback when i saw hamilton. Lin manuel is a true genius!	20	20	impressed	impressed
Every time I see my husband I know I could never cheat on him. We are both flirty people but know th	15	15	faithful	faithful
I can't wait until next week. We have planned a family get-together and I haven't seen my brother an	3	3	anticipating	anticipating
I just moved to this area quite recently and am quite pleased with the quality of stores, restaurant	29	20	surprised	impressed
I was going in to watch a certain movie recently that I was expecting to be pretty bad but turned ou	29	5	surprised	apprehensive
When I was younger, this little kid was going around tripped other kids and being a jerk in general.	1	1	angry	angry
I'm training a new girl at work. She is doing so good for her first week!	26	8	proud	confident
One time I got a week's vacation from work. I got to spend a lot of time watching my favorite shows	9	9	content	content
I visited an orphan once and just being there made me so thankful for parents and family	17	17	grateful	grateful
My boss has been a pain lately, he dosen't understand how long it takes to get certain tasks done. I	2	2	annoyed	annoyed
that's awful, but better safe than sorry.	36	33	sympathizing	acknowledging
?	38	38	questioning	questioning
nice!	33	33	acknowledging	acknowledging
I recently got admitted into a Master's program for school. I will be attending the University of Fl	14	14	excited	excited
my son went for his first day of kindergarten. He likes it so far so thats good.	19	26	hopeful	proud
I once found out my step father was stealing money from my mother to buy drugs. I confronted him abo	16	18	furious	guilty
I took my final exams two weeks ago and I was sure that I had done well. I studied and got good grad	8	8	confident	confident
We found out our son wasn't as sick as we thought he was and I was really glad.	17	17	grateful	grateful
One time my dog got hit by a car. He did not survive.	10	10	devastated	devastated
i am sorry to hear that.	36	36	sympathizing	sympathizing
I was on an airplane last week, and someone's baby would not stop crying. I know it isn't right to b	1	27	angry	sad
Having a toothache is irritating	2	2	annoyed	annoyed
I was leaving the grocery store today and some man flagged me down. I was scared at first to stop bu	13	30	embarrassed	terrified
i absolutely agree.	32	32	agreeing	agreeing
i believe if he had the help he needed, he would not have to steal tiny amounts of food.	40	40	neutral	neutral
i cant wait for the next starwars movie, there my favorite movies of all time	14	3	excited	anticipating
I am sad that my parents didn't attend my birthday	27	11	sad	disappointed
We had to evacuate our home due to a hurricane. We knew it might happen so we got organized and pack	25	25	prepared	prepared
I was impressed by the way my daughter sings ... it's wonderful ... I did not hear something like th	29	20	surprised	impressed
okay, it wasn't just one, it was three: one cherry, and two grape.	40	40	neutral	neutral
My family and I are close to aquiring a new home. It is a home in need of some repairs and we can't	3	28	anticipating	sentimental
I was trying to take a nap and my neighbor had her loud tiny dog outside. It kept me up and she wou	2	2	annoyed	annoyed
I had a video job interview.	4	8	anxious	confident
It drove me up the wall this morning when I realized I ran out of coffee filters without getting mor	2	2	annoyed	annoyed
I was furious when my dog ate the wires to my Television.	16	16	furious	furious
i hope you have all the emergency essentials you need for next time.	35	35	consoling	consoling
My son got picked to be on the soccer team that he was on last year!	29	26	surprised	proud
A few weeks ago my loud upstairs neighbors went away for a week. What a difference to the whole life	9	23	content	lonely
i wish you the best	39	39	Wishing	Wishing
I sat in my kitchen the other night and just listened to the rain hit the window for an hour. I felt	9	9	content	content
maybe not a true friend after all.	37	37	suggesting	suggesting
I am sad that my friends dont visit me	27	23	sad	lonely
i wish i still had it.	40	40	neutral	neutral
i was eating at a really fancy restaurant and found a little ball of hair in my food i was really di	12	12	disgusted	disgusted
I am going to a concert in a few weeks. One my favorite bands is playing and the starting act is gre	14	14	excited	excited
was it recently?	38	38	questioning	questioning
I am prepared to go camping tonight in the woods	25	25	prepared	prepared
very nice, wind in your hair, exercise, and fresh air.	33	33	acknowledging	acknowledging
I was at the grocery store the other day and I wasn't paying attention because I was looking at my p	13	13	embarrassed	embarrassed
was lied to about moving in to our own place	11	11	disappointed	disappointed
i hope it's controllable.	35	34	consoling	encouraging
that's good prayer can comfort, maybe you should talk to your pastor	37	37	suggesting	suggesting
so cool, i hope it goes well	33	34	acknowledging	encouraging
The start of school for my 2 kids is less than a week away. I have everything they need and more exc	25	25	prepared	prepared
yes i am going to coffee shop the man speech is so guilty	18	8	guilty	confident
When I was a kid I wanted to be popular, so I was envious of the popular kids	21	21	jealous	jealous
it makes me really sad that people dont care about throwing trash on the streets.	28	12	sentimental	disgusted
or maybe he's having other trouble that's affecting his studies	37	37	suggesting	suggesting
anger: no confidence to speak to girls until age 22	1	27	angry	sad
I was at home at the end of a long work week. I was sitting on the couch with my wife watching tv w	9	9	content	content
i hope that it is able to be treated well.	34	34	encouraging	encouraging
When I applied for the job I have now, it took them almost a month to get back to me. I contacted t	4	3	anxious	anticipating
I am sitting here waiting on something expensive I ordered online. It should be on my doorstep any s	3	3	anticipating	anticipating
I watch so many scary movies that I haven't been able to sleep alone in years due to fear.	0	30	afraid	terrified
I Love my husband. He has been so sweet this week. He knew I had a long day today so he bought me my	7	17	caring	grateful
One time for my birthday my college friends "kidnapped" me and put me in the trunk of a car and dunk	29	30	surprised	terrified
I was sorting through some stuff recently and came across some old Christmas cards. It was lovely to	28	28	sentimental	sentimental
that's pretty funny and maybe a little embarassing too.	37	33	suggesting	acknowledging
maybe it has something to do with your diet ?	37	37	suggesting	suggesting
When my parents got a divorce.	27	10	sad	devastated
i felt really guilty about lying to my parents when i was a child.. yeah, its been a while, but stil	18	18	guilty	guilty
Last weekend, my children, husband and I enjoyed a delicious meal and watched a movie together at ho	9	9	content	content
I stole money from a good friend when I was a young adult. I did it because I needed food, but have	6	18	ashamed	guilty
While I didn't know him personally, I was quite distressed to hear of the passing of Anthony Bourdai	27	10	sad	devastated
My husband usually gets a big bonus this time of the year! We are eagerly waiting for it, and hoping	3	3	anticipating	anticipating
My sister spilled milk on me. I hated it	2	12	annoyed	disgusted
i know how you feel though.	32	32	agreeing	agreeing
My upstairs neighbors are away for the weekend and I am as happy as a clam. No thumping, screeching,	9	9	content	content
i didn't get along with my dad until i became an adult.	40	40	neutral	neutral
hopefully by next year!	34	34	encouraging	encouraging
i'm sorry.	36	36	sympathizing	sympathizing
My brother got my dream vehicle as his first car	21	21	jealous	jealous
My boyfriend's cat wakes me up every morning at 4 AM. He just stands in the hallway and meows, even	2	2	annoyed	annoyed
Easter when my dad had the whole yard covered with eggs	29	29	surprised	surprised
Me found cave. Me found paint of wife. Me remember how wife hunt big mammoth. Me smile.	24	24	nostalgic	nostalgic
When i was a kid, my sister and i stole one of my moms checks from her checkbook and ordered a pizza	18	18	guilty	guilty
I recently sat down and had a personal conversation with my boss about some stuff.	31	4	trusting	anxious
what a bad doggie... hopefully they don't do it again	35	35	consoling	consoling
I snuck some candy out of my daughter's snack stash.	18	18	guilty	guilty
my bedroom is first floor, and literally maybe 4 feet from the parking lot.	37	2	suggesting	annoyed
When we went to the beach for vacation a few weeks ago, I felt so relaxed and happy! It was so great	9	22	content	joyful
I helped my friend find her lost cats. We found both of them	7	7	caring	caring
A squad car cut in to my lane head on the other day and I had nowhere to go, I was on a small crossb	0	13	afraid	embarrassed
I am so excited about going to the movies	14	14	excited	excited
One time I stayed at a friend's house for the weekend. When I got home I discovered that my brothers	1	31	angry	trusting
do that and success follows	38	33	questioning	acknowledging
I get excited when I go swimming	14	14	excited	excited
oh no, what are you going to do?	38	38	questioning	questioning
I have been rehearsing my speech for days now. I have the perfect delivery and all the talking point	8	8	confident	confident
i hope you do have fun!	35	34	consoling	encouraging
When my girlfriend got her leg bitten off my a bull shark last summer, I spent a month in the hospit	7	7	caring	caring
sounds like a lot of drama ugh i hope you get some rest tonight	35	35	consoling	consoling
When I was in middle school, I had a friend come over to ride horses with me. After riding my mother	6	31	ashamed	trusting
My dog keeps having accidents in the house ever since we got another dog. I keep taking her outside	1	7	angry	caring
I went out to lunch with my kids the other day. My daughter needed help opening her dipping sauce. N	13	7	embarrassed	caring
I'm so eager for my son to be born, I can not wait.	3	3	anticipating	anticipating
I recently went on a road trip with some friends. We had a great time and posted up on the beach.	14	22	excited	joyful
I love my cat, but she is driving me crazy constantly rubbing up against my face. I have so much cat	2	2	annoyed	annoyed
sick, congratulations!	39	39	Wishing	Wishing
I went to the zoo last month, I haven't been since I was a kid. I went to a zoo that was supposed to	27	14	sad	excited
I have many health problems but I am so lucky to have a great support system from my family. It is	7	17	caring	grateful
The little kitten I rescued last Friday passed away.	27	27	sad	sad
I was anticipating a great weight loss after my first week on my diet!	19	29	hopeful	surprised
I had sex with somebody that I hate. I feel terrible about myself and my values.	6	6	ashamed	ashamed
The other day I ate a large amount of Shepard's pie. It was at night right before I went to bed.	6	6	ashamed	ashamed
wow, congratulations!	39	39	Wishing	Wishing
